City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Felipe Carrillo Puerto,MX,2022-05-16 15:39:13,19.5833,-88.05,91.15,40,0,2.82
119,Viedma,AR,2022-05-16 15:41:27,-40.8135,-62.9967,54.3,57,63,14.2
120,Floro,NO,2022-05-16 15:41:27,61.5996,5.0328,64.47,36,0,5.75
121,Cantaura,VE,2022-05-16 15:41:28,9.3057,-64.3584,78.08,78,100,11.1
122,Zabol,AF,2022-05-16 15:41:28,32.25,67.25,75.81,14,5,7.76
123,Khokhryaki,RU,2022-05-16 15:41:28,56.9156,53.3221,52.05,86,100,3.71
124,Santa Isabel Do Rio Negro,BR,2022-05-16 15:41:29,-0.4139,-65.0192,80.49,81,100,4.23
125,Hamilton,US,2022-05-16 15:40:05,39.1834,-84.5333,70.75,67,40,10.36
126,Vila,PT,2022-05-16 15:41:29,42.0304,-8.1588,65.28,76,91,11.03
127,New Norfolk,AU,2022-05-16 15:41:30,-42.7826,147.0587,45.9,79,58,7.96
128,Seddon,AU,2022-05-16 15:41:30,-37.8068,144.8916,53.74,82,0,10.36
129,Potsdam,DE,2022-05-16 15:41:30,52.3989,13.0657,80.35,38,76,9.78
130,Batagay,RU,2022-05-16 15:41:31,67.6333,134.6333,23.14,97,95,2.71
131,Hobart,AU,2022-05-16 15:41:31,-42.8794,147.3294,46.26,88,75,11.5
132,Saint George,US,2022-05-16 15:41:31,37.1041,-113.5841,80.44,10,0,0.0
133,Hami,CN,2022-05-16 15:41:32,42.8,93.45,75.67,17,100,10.36
134,Kitui,KE,2022-05-16 15:42:32,-1.367,38.0106,70.25,62,99,10.89
135,Kupino,RU,2022-05-16 15:42:33,54.3663,77.2981,60.12,65,78,13.96
136,East London,ZA,2022-05-16 15:42:33,-33.0153,27.9116,72.54,78,0,8.05
137,Chandbali,IN,2022-05-16 15:42:33,20.7833,86.7667,84.54,80,37,18.84
138,Hithadhoo,MV,2022-05-16 15:42:34,-0.6,73.0833,83.57,76,74,14.54
139,Nokaneng,BW,2022-05-16 15:42:34,-19.6667,22.2667,72.84,30,24,7.7
140,Westport,US,2022-05-16 15:42:34,41.1415,-73.3579,82.31,81,20,9.22
141,Nuuk,GL,2022-05-16 15:42:35,64.1835,-51.7216,34.41,75,0,9.22
142,Saskylakh,RU,2022-05-16 15:42:35,71.9167,114.0833,26.74,90,100,7.38
143,Grindavik,IS,2022-05-16 15:42:35,63.8424,-22.4338,58.95,71,75,8.05
144,Staryy Nadym,RU,2022-05-16 15:42:36,65.6118,72.6842,55.83,60,96,8.1
145,Acapulco,MX,2022-05-16 15:38:35,16.8634,-99.8901,85.82,54,20,0.0
146,Mayo,US,2022-05-16 15:42:36,38.8876,-76.5119,73.45,93,100,6.91
147,Ancud,CL,2022-05-16 15:42:37,-41.8697,-73.8203,52.32,57,30,8.75
148,Nikolskoye,RU,2022-05-16 15:42:37,59.7035,30.7861,50.79,82,100,8.7
149,Cayenne,GF,2022-05-16 15:42:37,4.9333,-52.3333,80.1,1,75,3.44
150,Okmulgee,US,2022-05-16 15:40:59,35.6234,-95.9605,75.9,60,0,6.91
151,Pevek,RU,2022-05-16 15:42:38,69.7008,170.3133,26.06,81,100,3.78
152,Yulara,AU,2022-05-16 15:42:38,-25.2406,130.9889,60.17,43,76,12.37
153,Kodiak,US,2022-05-16 15:42:39,57.79,-152.4072,44.11,61,0,10.36
154,Byron Bay,AU,2022-05-16 15:40:09,-28.65,153.6167,69.71,95,55,8.75
155,Sioux Lookout,CA,2022-05-16 15:41:01,50.1001,-91.917,41.07,75,75,13.8
156,Tabas,IR,2022-05-16 15:42:39,33.5959,56.9244,87.44,11,0,3.4
157,Sao Filipe,CV,2022-05-16 15:42:39,14.8961,-24.4956,79.88,59,58,8.1
158,Tigre,AR,2022-05-16 15:38:31,-34.426,-58.5796,59.22,68,75,17.27
159,Butaritari,KI,2022-05-16 15:42:40,3.0707,172.7902,81.91,71,97,16.46
160,Severo-Kurilsk,RU,2022-05-16 15:42:40,50.6789,156.125,35.38,97,90,10.83
161,Nome,US,2022-05-16 15:42:41,64.5011,-165.4064,33.87,75,0,6.91
162,Nuevo Progreso,MX,2022-05-16 15:42:41,23.1667,-97.95,84.47,47,1,13.65
163,Oksfjord,NO,2022-05-16 15:42:42,70.2396,22.3479,39.27,86,100,11.63
