City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Bandar,ID,2.05,99.75,72.88,97,78,3.18,broken clouds
149,Longyearbyen,SJ,78.2186,15.6401,29.39,87,90,1.99,overcast clouds
150,Victoria,HK,22.2855,114.1577,79.32,78,84,5.99,broken clouds
151,Yellowknife,CA,62.456,-114.3525,41.56,48,75,11.5,broken clouds
152,Mangrol,IN,21.1167,70.1167,82.31,76,4,12.57,clear sky
153,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,9.22,scattered clouds
154,Broken Hill,AU,-31.95,141.4333,49.68,65,100,14.0,overcast clouds
155,Alice Springs,AU,-23.7,133.8833,47.75,93,0,4.61,clear sky
156,Lebu,CL,-37.6167,-73.65,56.41,86,100,23.04,overcast clouds
157,Hithadhoo,MV,-0.6,73.0833,83.23,75,70,10.96,broken clouds
158,Calama,CL,-22.4667,-68.9333,73.89,10,0,14.97,clear sky
159,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,75,9.22,broken clouds
160,Shingu,JP,33.7333,135.9833,62.13,57,100,5.23,overcast clouds
161,Norman Wells,CA,65.282,-126.8329,41.04,75,100,8.05,overcast clouds
162,Coruripe,BR,-10.1256,-36.1756,82.67,77,95,14.5,overcast clouds
163,Nadym,RU,65.5333,72.5167,49.82,92,87,14.43,light rain
164,Clyde River,CA,70.4692,-68.5914,26.83,100,0,8.05,clear sky
165,Sikasso,ML,10.9167,-7.0,91.36,35,100,8.99,overcast clouds
166,Caravelas,BR,-17.7125,-39.2481,78.67,28,87,7.29,overcast clouds
167,Simao,CN,22.7886,100.9748,64.0,98,46,2.46,scattered clouds
168,Maun,BW,-19.9833,23.4167,66.16,63,0,1.14,clear sky
169,Tombouctou,ML,20.0,-3.0,102.81,6,37,12.91,scattered clouds
170,Shihezi,CN,44.3,86.0333,75.29,37,100,10.71,light rain
171,Changji,CN,44.0167,87.3167,75.99,38,0,15.66,clear sky
172,Linxia,CN,35.6003,103.2064,53.4,62,94,3.47,overcast clouds
173,Alim,PH,9.5649,122.4876,80.89,80,94,2.35,overcast clouds
174,Sebring,US,27.4956,-81.4409,92.68,49,0,5.75,clear sky
175,Adamovka,RU,51.5223,59.9396,49.53,89,80,14.72,broken clouds
176,Kavieng,PG,-2.5744,150.7967,81.39,79,9,8.39,clear sky
177,Moate,IE,53.55,-7.7167,56.61,76,78,13.85,broken clouds
178,Umuarama,BR,-23.7664,-53.325,60.8,58,9,7.61,clear sky
179,Bengkulu,ID,-3.8004,102.2655,76.46,89,23,3.42,few clouds
180,Lata,PT,40.1629,-8.3327,74.91,43,89,5.61,overcast clouds
181,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,75,4.47,broken clouds
182,Sept-Iles,CA,50.2001,-66.3821,54.12,69,40,10.36,scattered clouds
183,Shumskiy,RU,54.8318,99.1328,57.88,69,66,3.11,broken clouds
184,Pampa,US,35.5362,-100.9599,91.44,27,0,11.5,clear sky
185,Dzerzhinsk,RU,56.2389,43.4631,44.42,65,40,6.71,scattered clouds
186,Dingle,PH,10.9995,122.6711,78.3,85,66,3.6,broken clouds
187,Aripuana,BR,-9.1667,-60.6333,80.1,31,88,3.24,overcast clouds
188,Pemba,MZ,-12.974,40.5178,75.9,94,75,8.05,broken clouds
189,Buraydah,SA,26.326,43.975,97.25,9,0,7.87,clear sky
190,Saint George,US,37.1041,-113.5841,91.8,11,14,11.01,few clouds
191,Vila Velha,BR,-20.3297,-40.2925,76.95,36,0,11.5,clear sky
192,Ossining,US,41.1629,-73.8615,60.67,90,100,9.22,mist
193,Galveston,US,29.3669,-94.9669,93.02,65,2,18.25,clear sky
194,Kirakira,SB,-10.4544,161.9205,78.01,85,4,3.53,clear sky
195,Adrar,MR,20.5022,-10.0711,99.64,5,3,3.62,clear sky
196,Shakawe,BW,-18.3667,21.85,64.81,42,3,4.92,clear sky
197,Kargil,IN,34.5667,76.1,43.9,69,97,2.73,overcast clouds
198,Hornepayne,CA,49.2138,-84.7705,49.91,76,100,3.51,overcast clouds
199,Russkaya Polyana,UA,49.417,31.9201,55.13,72,83,8.1,broken clouds
200,Atherton,GB,53.5237,-2.4935,66.29,48,85,3.0,overcast clouds
201,Jiwani,PK,25.05,61.7417,83.88,83,0,7.07,clear sky
202,Saskylakh,RU,71.9167,114.0833,29.82,96,100,2.93,overcast clouds
203,Nome,US,64.5011,-165.4064,30.27,93,20,4.61,few clouds
204,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,46,14.12,scattered clouds
205,Oyama,JP,36.3,139.8,70.59,72,97,2.57,overcast clouds
206,Ahuimanu,US,21.4447,-157.8378,79.2,79,40,11.99,scattered clouds
207,Bramsche,DE,52.4,7.9833,65.89,86,100,6.8,overcast clouds
208,Beringovskiy,RU,63.05,179.3167,35.2,91,100,2.04,overcast clouds
209,Saint-Joseph,RE,-21.3667,55.6167,71.98,75,22,11.9,few clouds
210,Faya,SA,18.3851,42.4509,77.52,15,2,14.58,clear sky
211,Manokwari,ID,-0.8667,134.0833,78.57,82,100,2.28,overcast clouds
212,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,60,40,31.07,scattered clouds
213,Vila,PT,42.0304,-8.1588,66.7,63,98,3.62,overcast clouds
214,Letlhakane,BW,-21.4167,25.5833,64.42,41,48,0.98,scattered clouds
215,Komsomolskiy,UZ,40.4272,71.7189,74.12,46,93,2.3,overcast clouds
216,Marsh Harbour,BS,26.5412,-77.0636,80.17,75,10,4.27,clear sky
217,Mumford,GH,5.2618,-0.759,81.09,82,95,10.92,overcast clouds
218,Navolato,MX,24.7672,-107.6944,91.02,26,55,11.97,broken clouds
